,Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type,,
169,7/3/2023 11:07:59.457,2245,0.495,ASK,30000,New Order,19,,Futu Securities International (Hong Kong) Limited,,,
170,7/3/2023 11:12:27.439,8297,0.48,ASK,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
171,7/3/2023 11:16:34.692,5347,0.48,ASK,4000,Removed Order,4,,J.P. Morgan Broking (Hong Kong) Limited,,,
172,7/3/2023 11:21:47.740,2310,0.485,ASK,200000,New Order,16,,Hang Seng Securities Limited,,,
173,7/3/2023 11:21:48.911,5337,0.48,ASK,4000,New Order,11,,J.P. Morgan Broking (Hong Kong) Limited,,,
174,7/3/2023 11:23:30.431,1172,0.49,ASK,292000,New Order,19,,Huatai Financial Holdings (Hong Kong) Limited,,,
175,7/3/2023 11:39:25.755,5256,0.5,ASK,8000,New Order,23,,Zinvest Global Limited,,,
176,7/3/2023 11:41:58.996,8301,0.455,BID,10000,Removed Order,13,,Futu Securities International (Hong Kong) Limited,,,
177,7/3/2023 11:43:02.208,8297,0.48,ASK,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
178,7/3/2023 11:51:31.215,8462,0.475,BID,18000,New Order,2,,Futu Securities International (Hong Kong) Limited,,,
179,7/3/2023 13:00:10.177,5337,0.48,ASK,4000,Removed Order,11,,J.P. Morgan Broking (Hong Kong) Limited,,,
180,7/3/2023 13:00:11.570,5346,0.48,ASK,3000,New Order,11,,J.P. Morgan Broking (Hong Kong) Limited,,,
181,7/3/2023 13:16:56.796,8297,0.48,ASK,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
182,7/3/2023 13:17:07.969,8297,0.48,ASK,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
183,7/3/2023 13:55:00.574,757,0.435,BID,150000,New Order,20,,Jefferies Hong Kong Limited,,,
184,7/3/2023 13:55:10.969,4821,0.475,BID,10000,Trade,1,,Valuable Capital Limited,,,
185,7/3/2023 13:55:21.811,8297,0.48,ASK,2000,Trade,1,,Yue Xiu Securities Company Limited,,,
186,7/3/2023 13:55:28.498,8297,0.48,ASK,1000,Trade,1,,Yue Xiu Securities Company Limited,,,
187,7/3/2023 13:56:15.068,4821,0.475,BID,1000,Trade,1,,Valuable Capital Limited,,,
188,7/3/2023 14:00:07.234,8302,0.53,ASK,97000,New Order,28,,Futu Securities International (Hong Kong) Limited,,,
189,7/3/2023 14:00:13.114,5346,0.48,ASK,3000,Removed Order,11,,J.P. Morgan Broking (Hong Kong) Limited,,,
190,7/3/2023 14:00:15.765,5337,0.48,ASK,6000,New Order,11,,J.P. Morgan Broking (Hong Kong) Limited,,,
191,7/3/2023 14:01:13.009,1836,0.42,BID,30000,Removed Order,24,,Instinet Pacific Limited,,,
