Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name
09:32.4,5345,2.62,ASK,55000,New Order,7,,J.P. Morgan Broking (Hong Kong) Limited
09:32.4,5342,2.61,ASK,19000,New Order,1,,J.P. Morgan Broking (Hong Kong) Limited
09:37.8,5529,2.63,ASK,10000,New Order,17,,Everbright Securities Investment Services (HK) Limited
09:39.5,6259,2.55,BID,30000,New Order,28,,SinoPac Securities (Asia) Limited
09:40.2,5345,2.62,ASK,55000,Removed Order,8,,J.P. Morgan Broking (Hong Kong) Limited
09:41.5,103,2.57,BID,3000,New Order,18,,Core Pacific - Yamaichi International (H.K.) Limited
09:43.4,2045,2.6,BID,6000,Removed Order,3,,Barclays Capital Asia Limited
09:44.9,1172,2.6,ASK,100000,New Order,1,,Huatai Financial Holdings (Hong Kong) Limited
09:44.9,5999,2.6,BID,4000,Trade,1,,China Innovation Market Service Company Limited
09:44.9,1172,2.6,ASK,4000,Order Modified,1,,Huatai Financial Holdings (Hong Kong) Limited
09:44.9,5998,2.6,BID,2000,Trade,1,,China Innovation Market Service Company Limited
09:44.9,1172,2.6,ASK,2000,Order Modified,1,,Huatai Financial Holdings (Hong Kong) Limited
09:44.9,1172,2.6,ASK,35000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited
09:44.9,2045,2.59,BID,7000,Removed Order,3,,Barclays Capital Asia Limited
09:44.9,2423,2.6,ASK,28000,New Order,2,,Barclays Capital Asia Limited
09:44.9,9028,2.6,BID,16000,New Order,1,,UBS Securities Hong Kong Limited
09:44.9,9028,2.6,BID,16000,Trade,1,,UBS Securities Hong Kong Limited
09:44.9,1172,2.6,ASK,16000,Order Modified,1,,Huatai Financial Holdings (Hong Kong) Limited
09:44.9,9028,2.6,BID,1000,New Order,1,,UBS Securities Hong Kong Limited
09:44.9,9028,2.6,BID,1000,Trade,1,,UBS Securities Hong Kong Limited
09:44.9,1172,2.6,ASK,1000,Order Modified,1,,Huatai Financial Holdings (Hong Kong) Limited
09:44.9,5342,2.61,ASK,19000,Removed Order,3,,J.P. Morgan Broking (Hong Kong) Limited
09:45.3,1172,2.6,ASK,2000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited
09:48.4,1836,2.63,ASK,40000,Removed Order,15,,Instinet Pacific Limited
09:50.5,1172,2.6,ASK,39000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited
09:50.5,1172,2.6,ASK,1000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited
09:50.5,2423,2.6,ASK,14000,Trade,1,,Barclays Capital Asia Limited
09:50.5,2423,2.6,ASK,14000,Removed Order,1,,Barclays Capital Asia Limited
09:50.5,2045,2.59,BID,6000,New Order,5,,Barclays Capital Asia Limited
09:50.5,5338,2.61,ASK,19000,New Order,1,,J.P. Morgan Broking (Hong Kong) Limited
09:50.5,8302,2.59,BID,19000,New Order,6,,Futu Securities International (Hong Kong) Limited
09:50.5,3531,2.61,ASK,15000,New Order,2,,Citadel Securities (Hong Kong) Limited
09:50.5,3532,2.63,ASK,6000,Removed Order,9,,Citadel Securities (Hong Kong) Limited
09:50.5,2420,2.61,ASK,57000,New Order,3,,Barclays Capital Asia Limited
09:50.5,2423,2.61,ASK,20000,New Order,4,,Barclays Capital Asia Limited
09:50.5,8302,2.59,BID,19000,Removed Order,6,,Futu Securities International (Hong Kong) Limited
09:54.3,8306,2.56,BID,1000,New Order,20,,Futu Securities International (Hong Kong) Limited
09:56.1,5338,2.61,ASK,19000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
09:56.1,3531,2.61,ASK,15000,Trade,1,,Citadel Securities (Hong Kong) Limited
09:56.1,2420,2.61,ASK,46000,Trade,1,,Barclays Capital Asia Limited
09:56.1,5342,2.61,ASK,19000,New Order,3,,J.P. Morgan Broking (Hong Kong) Limited
09:56.1,5345,2.62,ASK,76000,Removed Order,9,,J.P. Morgan Broking (Hong Kong) Limited
